Iteration;Long01;Long012;Long02;Long0105
864;;;;819
865;;;;820
866;;;;820
867;;;;821
868;;;;817
869;;;;817
870;;;;817
871;;;;817
872;;;;817
873;;;;817
874;;;;816
875;;;;820
876;;;;820
877;;;;818
878;;;;817
879;;;;817
880;;;;817
881;;;;817
882;;;;817
883;;;;817
884;;;;817
885;;;;815
886;;;;816
887;;;;816
888;;;;816
889;;;;816
890;;;;816
891;;;;816
892;;;;818
893;;;;818
894;;;;819
895;;;;819
896;;;;820
897;;;;820
898;;;;821
899;;;;821
900;;;;820
901;;;;820
902;;;;820
903;;;;820
904;;;;820
905;;;;819
906;;;;819
907;;;;818
908;;;;818
909;;;;817
910;;;;817
911;;;;822
912;;;;822
913;;;;820
914;;;;820
915;;;;821
916;;;;821
917;;;;820
918;;;;819
919;;;;819
920;;;;818
921;;;;818
922;;;;817
923;;;;815
924;;;;815
925;;;;820
926;;;;820
927;;;;821
928;;;;821
929;;;;821
930;;;;821
931;;;;821
932;;;;821
933;;;;821
934;;;;821
935;;;;821
936;;;;821
937;;;;821
938;;;;821
939;;;;815
940;;;;815
941;;;;815
942;;;;815
943;;;;816
944;;;;815
945;;;;811
946;;;;811
947;;;;811
948;;;;811
949;;;;816
950;;;;813
951;;;;813
952;;;;813
953;;;;811
954;;;;811
955;;;;811
956;;;;812
957;;;;812
958;;;;811
959;;;;812
960;;;;810
961;;;;810
962;;;;810
963;;;;810
964;;;;811
965;;;;811
966;;;;811
967;;;;812
968;;;;811
969;;;;813
970;;;;813
971;;;;812
972;;;;813
973;;;;814
974;;;;814
975;;;;813
976;;;;812
977;;;;813
978;;;;813
979;;;;813
980;;;;813
981;;;;813
982;;;;814
983;;;;814
984;;;;814
985;;;;816
986;;;;817
987;;;;816
988;;;;816
989;;;;816
990;;;;816
991;;;;816
992;;;;816
993;;;;816
994;;;;817
995;;;;817
996;;;;817
997;;;;818
998;;;;818
999;;;;818
1000;;;;818
1001;;;;820
1002;;;;820
1003;;;;820
1004;;;;820
1005;;;;819
1006;;;;819
1007;;;;819
1008;;;;821
1009;;;;819
1010;;;;819
1011;;;;819
1012;;;;817
1013;;;;818
1014;;;;818
1015;;;;818
1016;;;;818
1017;;;;818
1018;;;;818
1019;;;;818
1020;;;;818
1021;;;;818
1022;;;;818
1023;;;;818
1024;;;;818
1025;;;;817
1026;;;;817
1027;;;;817
1028;;;;817
1029;;;;817
1030;;;;818
1031;;;;817
1032;;;;817
1033;;;;817
1034;;;;817
1035;;;;815
1036;;;;815
1037;;;;815
1038;;;;817
1039;;;;817
1040;;;;814
1041;;;;813
1042;;;;813
1043;;;;811
1044;;;;811
1045;;;;809
1046;;;;809
1047;;;;807
1048;;;;807
1049;;;;807
1050;;;;806
1051;;;;805
1052;;;;805
1053;;;;805
1054;;;;805
1055;;;;805
