Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long_hint01,500.0,5.0,100,1301.0
long_hint01,1000.0,1.0,1000,1286.0
long_hint01,1000.0,0.9,1111,1229.0
long_hint01,1000.0,0.8,1250,1231.0
long_hint01,1000.0,0.7000000000000001,1428,1230.0
long_hint01,1000.0,0.6000000000000001,1666,1217.0
long_hint01,1000.0,0.5000000000000001,1999,1215.0
long_hint01,1000.0,0.40000000000000013,2499,1222.0
long_hint01,1000.0,0.30000000000000016,3333,1219.0
long_hint01,1000.0,0.20000000000000015,4999,1185.0
long_hint01,1000.0,0.10000000000000014,9999,1180.0
long_hint01,1000.0,1.0,1000,1214.0
long_hint01,900.0,1.0,900,1249.0
long_hint01,800.0,1.0,800,1239.0
long_hint01,700.0,1.0,700,1242.0
long_hint01,600.0,1.0,600,1276.0
long_hint01,500.0,1.0,500,1229.0
long_hint01,400.0,1.0,400,1265.0
long_hint01,300.0,1.0,300,1231.0
long_hint01,200.0,1.0,200,1272.0
long_hint01,100.0,1.0,100,1308.0
long_hint01,500.0,0.5,1000,1254.0
long_hint01,500.0,0.45,1111,1234.0
long_hint01,500.0,0.4,1250,1220.0
long_hint01,500.0,0.35000000000000003,1428,1235.0
long_hint01,500.0,0.30000000000000004,1666,1208.0
long_hint01,500.0,0.25000000000000006,1999,1205.0
long_hint01,500.0,0.20000000000000007,2499,1199.0
long_hint01,500.0,0.15000000000000008,3333,1205.0
long_hint01,500.0,0.10000000000000007,4999,1206.0
long_hint01,500.0,0.05000000000000007,9999,1162.0
long_hint01,500.0,0.5,1000,1237.0
long_hint01,450.0,0.5,900,1218.0
long_hint01,400.0,0.5,800,1213.0
long_hint01,350.0,0.5,700,1257.0
long_hint01,300.0,0.5,600,1245.0
long_hint01,250.0,0.5,500,1275.0
long_hint01,200.0,0.5,400,1257.0
long_hint01,150.0,0.5,300,1283.0
long_hint01,100.0,0.5,200,1269.0
long_hint01,50.0,0.5,100,1252.0
long_hint01,100.0,0.1,1000,1248.0
long_hint01,100.0,0.09000000000000001,1111,1212.0
long_hint01,100.0,0.08000000000000002,1249,1228.0
long_hint01,100.0,0.07000000000000002,1428,1236.0
long_hint01,100.0,0.06000000000000002,1666,1237.0
long_hint01,100.0,0.05000000000000002,1999,1244.0
long_hint01,100.0,0.040000000000000015,2499,1235.0
long_hint01,100.0,0.030000000000000013,3333,1203.0
long_hint01,100.0,0.02000000000000001,4999,1197.0
long_hint01,100.0,0.01000000000000001,9999,1196.0
long_hint01,100.0,0.1,1000,1219.0
long_hint01,90.0,0.1,900,1237.0
long_hint01,80.0,0.1,800,1241.0
long_hint01,70.0,0.1,700,1243.0
long_hint01,60.0,0.1,600,1257.0
long_hint01,50.0,0.1,500,1215.0
long_hint01,40.0,0.1,400,1231.0
long_hint01,30.0,0.1,300,1285.0
long_hint01,20.0,0.1,200,1236.0
long_hint01,10.0,0.1,100,1279.0
long_hint01,10.0,0.01,1000,1272.0
long_hint01,10.0,0.009000000000000001,1111,1261.0
long_hint01,10.0,0.008,1250,1207.0
long_hint01,10.0,0.007,1428,1220.0
long_hint01,10.0,0.006,1666,1214.0
long_hint01,10.0,0.005,2000,1204.0
long_hint01,10.0,0.004,2500,1196.0
long_hint01,10.0,0.003,3333,1216.0
long_hint01,10.0,0.002,5000,1208.0
long_hint01,10.0,0.001,10000,1177.0
long_hint01,10.0,0.01,1000,1230.0
long_hint01,9.0,0.01,900,1256.0
long_hint01,8.0,0.01,800,1249.0
long_hint01,7.0,0.01,700,1274.0
long_hint01,6.0,0.01,600,1213.0
long_hint01,5.0,0.01,500,1249.0
long_hint01,4.0,0.01,400,1258.0
long_hint01,3.0,0.01,300,1224.0
long_hint01,2.0,0.01,200,1239.0
long_hint01,1.0,0.01,100,1280.0
long_late01,10000.0,10.0,1000,3481.0
long_late01,10000.0,9.0,1111,3366.0
long_late01,10000.0,8.0,1250,3428.0
long_late01,10000.0,7.0,1428,3391.0
long_late01,10000.0,6.0,1666,3401.0
long_late01,10000.0,5.0,2000,3425.0
long_late01,10000.0,4.0,2500,3335.0
long_late01,10000.0,3.0,3333,3392.0
long_late01,10000.0,2.0,5000,3335.0
long_late01,10000.0,1.0,10000,3309.0
long_late01,10000.0,10.0,1000,3354.0
long_late01,9000.0,10.0,900,3464.0
long_late01,8000.0,10.0,800,3500.0
long_late01,7000.0,10.0,700,3485.0
long_late01,6000.0,10.0,600,3416.0
long_late01,5000.0,10.0,500,3435.0
long_late01,4000.0,10.0,400,3455.0
long_late01,3000.0,10.0,300,3467.0
long_late01,2000.0,10.0,200,3654.0
long_late01,1000.0,10.0,100,3535.0
long_late01,5000.0,5.0,1000,3538.0
long_late01,5000.0,4.5,1111,3436.0
long_late01,5000.0,4.0,1250,3403.0
long_late01,5000.0,3.5,1428,3488.0
long_late01,5000.0,3.0,1666,3499.0
long_late01,5000.0,2.5,2000,3384.0
long_late01,5000.0,2.0,2500,3340.0
long_late01,5000.0,1.5,3333,3408.0
long_late01,5000.0,1.0,5000,3281.0
long_late01,5000.0,0.5,10000,3272.0
long_late01,5000.0,5.0,1000,3494.0
long_late01,4500.0,5.0,900,3409.0
long_late01,4000.0,5.0,800,3545.0
long_late01,3500.0,5.0,700,3492.0
long_late01,3000.0,5.0,600,3584.0
long_late01,2500.0,5.0,500,3582.0
long_late01,2000.0,5.0,400,3591.0
long_late01,1500.0,5.0,300,3470.0
long_late01,1000.0,5.0,200,3568.0
long_late01,500.0,5.0,100,3769.0
long_late01,1000.0,1.0,1000,3566.0
long_late01,1000.0,0.9,1111,3523.0
long_late01,1000.0,0.8,1250,3496.0
long_late01,1000.0,0.7000000000000001,1428,3431.0
long_late01,1000.0,0.6000000000000001,1666,3432.0
long_late01,1000.0,0.5000000000000001,1999,3396.0
long_late01,1000.0,0.40000000000000013,2499,3338.0
long_late01,1000.0,0.30000000000000016,3333,3332.0
long_late01,1000.0,0.20000000000000015,4999,3331.0
long_late01,1000.0,0.10000000000000014,9999,3326.0
long_late01,1000.0,1.0,1000,3370.0
long_late01,900.0,1.0,900,3495.0
long_late01,800.0,1.0,800,3504.0
long_late01,700.0,1.0,700,3562.0
long_late01,600.0,1.0,600,3421.0
long_late01,500.0,1.0,500,3548.0
long_late01,400.0,1.0,400,3417.0
long_late01,300.0,1.0,300,3486.0
long_late01,200.0,1.0,200,3510.0
long_late01,100.0,1.0,100,3520.0
long_late01,500.0,0.5,1000,3535.0
long_late01,500.0,0.45,1111,3504.0
long_late01,500.0,0.4,1250,3459.0
long_late01,500.0,0.35000000000000003,1428,3477.0
long_late01,500.0,0.30000000000000004,1666,3496.0
long_late01,500.0,0.25000000000000006,1999,3369.0
long_late01,500.0,0.20000000000000007,2499,3365.0
long_late01,500.0,0.15000000000000008,3333,3399.0
long_late01,500.0,0.10000000000000007,4999,3264.0
long_late01,500.0,0.05000000000000007,9999,3301.0
long_late01,500.0,0.5,1000,3313.0
long_late01,450.0,0.5,900,3351.0
long_late01,400.0,0.5,800,3427.0
long_late01,350.0,0.5,700,3432.0
long_late01,300.0,0.5,600,3448.0
long_late01,250.0,0.5,500,3533.0
long_late01,200.0,0.5,400,3465.0
long_late01,150.0,0.5,300,3426.0
long_late01,100.0,0.5,200,3326.0
long_late01,50.0,0.5,100,3384.0
long_late01,100.0,0.1,1000,3590.0
long_late01,100.0,0.09000000000000001,1111,3489.0
long_late01,100.0,0.08000000000000002,1249,3431.0
long_late01,100.0,0.07000000000000002,1428,3385.0
long_late01,100.0,0.06000000000000002,1666,3420.0
long_late01,100.0,0.05000000000000002,1999,3402.0
long_late01,100.0,0.040000000000000015,2499,3378.0
long_late01,100.0,0.030000000000000013,3333,3419.0
long_late01,100.0,0.02000000000000001,4999,3389.0
long_late01,100.0,0.01000000000000001,9999,3303.0
long_late01,100.0,0.1,1000,3465.0
long_late01,90.0,0.1,900,3439.0
long_late01,80.0,0.1,800,3438.0
long_late01,70.0,0.1,700,3388.0
long_late01,60.0,0.1,600,3544.0
long_late01,50.0,0.1,500,3573.0
long_late01,40.0,0.1,400,3597.0
long_late01,30.0,0.1,300,3444.0
long_late01,20.0,0.1,200,3485.0
long_late01,10.0,0.1,100,3377.0
long_late01,10.0,0.01,1000,3547.0
long_late01,10.0,0.009000000000000001,1111,3527.0
long_late01,10.0,0.008,1250,3445.0
long_late01,10.0,0.007,1428,3454.0
long_late01,10.0,0.006,1666,3457.0
long_late01,10.0,0.005,2000,3384.0
long_late01,10.0,0.004,2500,3392.0
long_late01,10.0,0.003,3333,3336.0
long_late01,10.0,0.002,5000,3300.0
long_late01,10.0,0.001,10000,3270.0
long_late01,10.0,0.01,1000,3503.0
long_late01,9.0,0.01,900,3509.0
long_late01,8.0,0.01,800,3526.0
long_late01,7.0,0.01,700,3473.0
long_late01,6.0,0.01,600,3565.0
long_late01,5.0,0.01,500,3565.0
long_late01,4.0,0.01,400,3421.0
long_late01,3.0,0.01,300,3661.0
long_late01,2.0,0.01,200,3778.0
long_late01,1.0,0.01,100,3768.0
medium01,10000.0,10.0,1000,649.0
medium01,10000.0,9.0,1111,660.0
medium01,10000.0,8.0,1250,651.0
medium01,10000.0,7.0,1428,652.0
medium01,10000.0,6.0,1666,649.0
medium01,10000.0,5.0,2000,650.0
medium01,10000.0,4.0,2500,652.0
medium01,10000.0,3.0,3333,648.0
medium01,10000.0,2.0,5000,647.0
medium01,10000.0,1.0,10000,632.0
medium01,10000.0,10.0,1000,661.0
medium01,9000.0,10.0,900,664.0
medium01,8000.0,10.0,800,656.0
medium01,7000.0,10.0,700,674.0
medium01,6000.0,10.0,600,669.0
medium01,5000.0,10.0,500,663.0
medium01,4000.0,10.0,400,683.0
medium01,3000.0,10.0,300,664.0
medium01,2000.0,10.0,200,667.0
medium01,1000.0,10.0,100,670.0
medium01,5000.0,5.0,1000,671.0
medium01,5000.0,4.5,1111,640.0
medium01,5000.0,4.0,1250,641.0
medium01,5000.0,3.5,1428,657.0
medium01,5000.0,3.0,1666,655.0
medium01,5000.0,2.5,2000,649.0
medium01,5000.0,2.0,2500,652.0
medium01,5000.0,1.5,3333,644.0
medium01,5000.0,1.0,5000,637.0
medium01,5000.0,0.5,10000,633.0
medium01,5000.0,5.0,1000,667.0
medium01,4500.0,5.0,900,656.0
medium01,4000.0,5.0,800,656.0
medium01,3500.0,5.0,700,652.0
medium01,3000.0,5.0,600,668.0
medium01,2500.0,5.0,500,670.0
medium01,2000.0,5.0,400,650.0
medium01,1500.0,5.0,300,687.0
medium01,1000.0,5.0,200,682.0
medium01,500.0,5.0,100,707.0
medium01,1000.0,1.0,1000,661.0
medium01,1000.0,0.9,1111,666.0
medium01,1000.0,0.8,1250,659.0
medium01,1000.0,0.7000000000000001,1428,655.0
medium01,1000.0,0.6000000000000001,1666,654.0
medium01,1000.0,0.5000000000000001,1999,652.0
